ID,yearID,teamID,Rank,R,RA,G,W,H,BB,HBP,AB,SF,HR,2B,3B,salary,BA,OBP,SLG
135,1990,ML4,6,732,760,162,74,1408,519,,5503,,128,247,36,19719167,0.25586043976,0.319993357688,0.383608940578
136,1990,NYA,7,603,749,162,67,1322,427,,5483,,147,208,19,20912318,0.241108881999,0.295939086294,0.366405252599
137,1990,OAK,1,733,570,162,103,1379,651,,5433,,164,209,22,19887501,0.253819252715,0.333662064431,0.390944229707
138,1990,CHA,2,682,633,162,94,1393,478,,5402,,106,251,44,9491500,0.257867456498,0.318197278912,0.379489078119
139,1990,TEX,3,676,696,162,83,1416,575,,5469,,110,257,27,14874372,0.258913878223,0.329417604236,0.376119948802
140,1990,CAL,4,690,706,162,80,1448,566,,5570,,147,237,27,21720000,0.259964093357,0.328226857888,0.391382405745
141,1990,SEA,5,640,680,162,77,1419,596,,5474,,107,251,26,12553667,0.259225429302,0.331960461285,0.373218852758
142,1990,KCA,6,707,709,161,75,1465,498,,5488,,100,316,44,23361084,0.26694606414,0.327931840962,0.395225947522
143,1990,MIN,7,666,729,162,74,1458,445,,5499,,100,281,39,14602000,0.265139116203,0.320154777927,0.384979087107
144,1990,PIT,1,733,619,162,95,1395,582,,5388,,138,288,42,15556000,0.258908685969,0.331155778894,0.404788418708
145,1990,NYN,2,775,613,162,91,1410,536,,5504,,172,278,21,21722834,0.256177325581,0.322185430464,0.408066860465
146,1990,MON,3,662,598,162,85,1363,576,,5453,,114,227,43,16586388,0.249954153677,0.321612207663,0.370071520264
147,1990,CHN,4,690,774,162,77,1474,406,,5600,,136,240,36,13624000,0.263214285714,0.31302031302,0.391785714286
148,1990,PHI,4,646,729,162,77,1410,582,,5535,,103,237,27,13173667,0.254742547425,0.325649828347,0.363143631436
149,1990,SLN,6,599,698,162,70,1398,517,,5462,,73,255,41,20523334,0.255950201391,0.320287673524,0.357744415965
150,1990,CIN,1,693,597,162,91,1466,466,,5525,,125,284,40,14370000,0.265339366516,0.322483725588,0.399095022624
151,1990,LAN,2,728,685,162,86,1436,538,,5491,,129,222,27,21318704,0.261518849026,0.32741748217,0.382261883081
152,1990,SFN,3,719,710,162,85,1459,488,,5573,,152,221,35,19335333,0.261797954423,0.321234119782,0.395837071595
153,1990,HOU,4,573,656,162,75,1301,548,,5379,,94,209,32,18330000,0.24186651794,0.31196220685,0.3450455475
154,1990,SDN,4,673,673,162,75,1429,509,,5554,,123,243,35,17588334,0.257292041772,0.319643740722,0.380086424199
155,1990,ATL,6,682,821,162,65,1376,473,,5504,,162,263,26,14555501,0.25,0.309352517986,0.395530523256
156,1991,TOR,1,684,622,162,91,1412,499,,5489,,133,295,45,19902417,0.25724175624,0.319138276553,0.400072873019
157,1991,BOS,2,731,712,162,84,1486,593,,5530,,126,305,25,35167500,0.268716094033,0.33953944145,0.401265822785
158,1991,DET,2,817,794,162,84,1372,699,,5547,,209,259,26,23838333,0.247340904994,0.331572206212,0.416441319632
159,1991,ML4,4,799,744,162,83,1523,556,,5611,,116,247,53,23115500,0.271431117448,0.337116912599,0.396364284441
160,1991,NYA,5,674,777,162,71,1418,473,,5541,,147,249,19,27344168,0.255910485472,0.314432989691,0.387294712146
161,1991,BAL,6,686,796,162,67,1421,528,,5604,,170,256,29,17519000,0.253568879372,0.317840834964,0.400606709493
162,1991,CLE,7,576,759,162,57,1390,449,,5470,,79,236,26,17635000,0.254113345521,0.31069437405,0.350091407678
163,1991,MIN,1,776,652,162,95,1557,526,,5556,,140,270,42,23361833,0.280237580994,0.342486024334,0.419546436285
164,1991,CHA,2,758,681,162,87,1464,610,,5594,,139,226,39,16919667,0.261708973901,0.334300451322,0.390597068287
165,1991,TEX,3,829,814,162,85,1539,596,,5703,,177,288,31,18224500,0.26985796949,0.338942689316,0.424338067684
166,1991,OAK,4,760,776,162,84,1342,642,,5410,,159,246,19,36999167,0.248059149723,0.327825512227,0.388724584104
167,1991,SEA,5,702,674,162,83,1400,588,,5494,,126,268,29,15691833,0.254823443757,0.326866162447,0.382963232617
168,1991,KCA,6,727,722,162,82,1475,523,,5584,,117,290,41,26319834,0.26414756447,0.327165547732,0.393624641834
169,1991,CAL,7,653,649,162,81,1396,448,,5470,,115,245,29,33060001,0.25521023766,0.311591753971,0.373674588665
170,1991,PIT,1,768,632,162,98,1433,620,,5449,,126,259,50,23634667,0.262984033768,0.338276487065,0.398238208846
171,1991,SLN,2,651,648,162,84,1366,532,,5362,,68,239,53,21860001,0.254755688176,0.322022395657,0.357142857143
172,1991,PHI,3,629,680,162,78,1332,490,,5521,,111,248,33,22487332,0.241260641188,0.303110963234,0.35844955624
173,1991,CHN,4,695,734,160,77,1395,442,,5522,,159,232,26,23175667,0.252625860196,0.308014755198,0.390438247012
174,1991,NYN,5,640,646,161,77,1305,578,,5359,,117,250,24,32590001,0.243515581265,0.317163550615,0.364620264975
175,1991,MON,6,579,655,161,71,1329,484,,5412,,95,236,42,10732333,0.2455654102,0.30749660787,0.357354028086
176,1991,ATL,1,749,644,162,94,1407,563,,5456,,141,255,30,18403500,0.257881231672,0.327296893172,0.39314516129
177,1991,LAN,2,665,565,162,93,1366,583,,5408,,108,191,29,32790664,0.252588757396,0.325321315306,0.358542899408
178,1991,SDN,3,636,646,162,84,1321,501,,5408,,121,204,36,22150001,0.244267751479,0.30834320528,0.362426035503
179,1991,SFN,4,649,697,162,75,1345,471,,5463,,141,215,48,30967666,0.246201720666,0.306033029997,0.380560131796
180,1991,CIN,5,689,691,162,74,1419,488,,5501,,164,250,27,26305333,0.257953099436,0.318417098013,0.402654062898
181,1991,HOU,6,605,717,162,65,1345,502,,5504,,79,240,43,12852500,0.244367732558,0.307525807526,0.346656976744
182,1992,TOR,1,780,682,162,96,1458,561,,5536,,163,265,40,44788666,0.263367052023,0.331146465475,0.41401734104
183,1992,ML4,2,740,604,162,92,1477,511,,5504,,82,272,35,31013667,0.268350290698,0.330507065669,0.375181686047
184,1992,BAL,3,705,656,162,89,1423,647,,5485,,148,243,36,23780667,0.259434822242,0.337573385519,0.397812215132
185,1992,CLE,4,674,746,162,76,1495,448,,5620,,127,227,24,9373044,0.266014234875,0.320204350692,0.382740213523
186,1992,NYA,4,733,746,162,76,1462,536,,5593,,163,281,18,37543334,0.261398176292,0.325991189427,0.405506883605
187,1992,DET,6,791,794,162,75,1411,675,,5515,,182,256,16,27322834,0.255847688123,0.336995153473,0.407071622847
188,1992,BOS,7,599,669,162,73,1343,591,,5461,,84,259,21,43610584,0.245925654642,0.319563780568,0.347189159495
189,1992,OAK,1,745,672,162,96,1389,707,,5387,,142,219,24,41035000,0.257842955263,0.3439448638,0.386485984778
190,1992,MIN,2,747,653,162,90,1544,527,,5582,,104,275,27,28027834,0.276603367968,0.339008020953,0.391436761018
191,1992,CHA,3,738,690,162,86,1434,622,,5498,,110,269,36,30160833,0.260822117134,0.335947712418,0.382866496908
